country,city,date,congestion,diffRatio
Saudi Arabia,Riyadh,2020-12-08,9,-0.4
Saudi Arabia,Riyadh,2020-12-09,8,-0.4666666666666667
Saudi Arabia,Riyadh,2020-12-10,11,-0.3888888888888889
Saudi Arabia,Riyadh,2020-12-11,5,-0.5
Saudi Arabia,Riyadh,2020-12-12,5,-0.4444444444444444
Saudi Arabia,Riyadh,2020-12-13,7,-0.5
Saudi Arabia,Riyadh,2020-12-14,8,-0.4666666666666667
Saudi Arabia,Riyadh,2020-12-15,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-12-16,8,-0.4666666666666667
Saudi Arabia,Riyadh,2020-12-17,9,-0.5
Saudi Arabia,Riyadh,2020-12-18,4,-0.6
Saudi Arabia,Riyadh,2020-12-19,4,-0.5555555555555556
Saudi Arabia,Riyadh,2020-12-20,7,-0.5
Saudi Arabia,Riyadh,2020-12-21,5,-0.6666666666666666
Saudi Arabia,Riyadh,2020-12-22,6,-0.6
Saudi Arabia,Riyadh,2020-12-23,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-12-24,10,-0.4444444444444444
Saudi Arabia,Riyadh,2020-12-25,4,-0.6
Saudi Arabia,Riyadh,2020-12-26,4,-0.5555555555555556
Saudi Arabia,Riyadh,2020-12-27,11,-0.2142857142857142
Saudi Arabia,Riyadh,2020-12-28,13,-0.1333333333333333
Saudi Arabia,Riyadh,2020-12-29,13,-0.1333333333333333
Saudi Arabia,Riyadh,2020-12-30,12,-0.2
Saudi Arabia,Riyadh,2020-12-31,11,-0.3888888888888889
Saudi Arabia,Riyadh,2021-01-04,9,-0.4
Saudi Arabia,Riyadh,2021-01-05,8,-0.4666666666666667
Saudi Arabia,Riyadh,2021-01-06,8,-0.4666666666666667
Saudi Arabia,Riyadh,2021-01-07,16,-0.1111111111111111
Saudi Arabia,Riyadh,2021-01-08,4,-0.6
Saudi Arabia,Riyadh,2021-01-09,5,-0.4444444444444444
Saudi Arabia,Riyadh,2021-01-10,7,-0.5
Saudi Arabia,Riyadh,2021-01-11,8,-0.4666666666666667
Saudi Arabia,Riyadh,2021-01-12,8,-0.4666666666666667
Saudi Arabia,Riyadh,2021-01-13,8,-0.4666666666666667
Saudi Arabia,Riyadh,2021-01-14,8,-0.5555555555555556
Saudi Arabia,Riyadh,2021-01-15,2,-0.8
Saudi Arabia,Riyadh,2021-01-16,5,-0.4444444444444444
Saudi Arabia,Riyadh,2021-01-17,6,-0.5714285714285714
Saudi Arabia,Riyadh,2021-01-18,6,-0.6
Saudi Arabia,Riyadh,2021-01-19,6,-0.6
Saudi Arabia,Riyadh,2021-01-20,5,-0.6666666666666666
Saudi Arabia,Riyadh,2021-01-21,7,-0.6111111111111112
Saudi Arabia,Riyadh,2021-01-22,3,-0.7
Saudi Arabia,Riyadh,2021-01-23,4,-0.5555555555555556
Saudi Arabia,Riyadh,2021-01-24,5,-0.6428571428571429
Saudi Arabia,Riyadh,2021-01-25,7,-0.5333333333333333
Saudi Arabia,Riyadh,2021-01-26,7,-0.5333333333333333
Saudi Arabia,Riyadh,2021-01-27,11,-0.26666666666666666
Saudi Arabia,Riyadh,2021-01-28,13,-0.2777777777777778
Saudi Arabia,Riyadh,2021-01-29,7,-0.3
Saudi Arabia,Riyadh,2021-01-30,7,-0.2222222222222222
Saudi Arabia,Riyadh,2021-01-31,9,-0.35714285714285715
Saudi Arabia,Riyadh,2021-02-01,9,-0.4
Saudi Arabia,Riyadh,2021-02-02,9,-0.4
Saudi Arabia,Riyadh,2021-02-03,9,-0.4
Saudi Arabia,Riyadh,2021-02-04,9,-0.5
Saudi Arabia,Riyadh,2021-02-05,3,-0.7
Saudi Arabia,Riyadh,2021-02-06,5,-0.4444444444444444
