date,start,end,n_alert_windows,peak_z,peak_time,peak_classes,share_multiclass,sigma_ratio,event,type
2018-04-09,13:10:00,13:10:00,1,3.028815735132031,13:10:00,1,0.0,0.5937633449684402,,compressed
2014-10-28,14:56:00,14:56:00,1,3.028051569822514,14:56:00,1,0.0,0.5778821718880436,,compressed
2010-11-30,14:40:00,14:40:00,1,3.0272948001882827,14:40:00,1,0.0,1.0472057330394318,,mixed
2018-11-01,14:33:00,14:33:00,1,3.026906610135611,14:33:00,2,1.0,0.520062855131046,,compressed
2014-11-25,15:00:00,15:00:00,1,3.025814285639947,15:00:00,1,0.0,0.831452224569246,,mixed
2009-08-31,14:57:00,14:57:00,1,3.025768797807917,14:57:00,1,0.0,0.7129808840254899,,mixed
2012-04-12,14:33:00,14:35:00,2,3.0248917674335507,14:33:00,1,0.0,0.6736109141973821,,mixed
2011-07-19,12:21:00,12:21:00,1,3.023658575277729,12:21:00,1,0.0,0.7624441435402295,,mixed
2011-12-01,12:51:00,12:51:00,1,3.023644114900646,12:51:00,1,0.0,0.8852548101265045,,mixed
2020-02-12,15:27:00,15:27:00,1,3.023572008611675,15:27:00,1,0.0,0.6995010231380003,,mixed
2019-12-23,12:17:00,12:18:00,2,3.023403061908816,12:17:00,2,1.0,0.816204220497564,,mixed
2018-11-26,15:29:00,15:29:00,1,3.0231106457140786,15:29:00,1,0.0,0.6706541828877702,,mixed
2008-05-19,14:16:00,14:16:00,1,3.0227913014545233,14:16:00,2,1.0,1.0968098896050977,,mixed
2011-11-17,13:10:00,13:10:00,1,3.0223711501750223,13:10:00,2,1.0,1.8886575342659861,,dispersed
2021-01-25,11:19:00,11:26:00,4,3.021881672228445,11:25:00,2,1.0,4.013814903401031,,dispersed
2017-05-01,13:28:00,13:28:00,1,3.0215913891859736,13:28:00,2,1.0,1.3760348867571235,,mixed
2014-04-30,13:32:00,13:32:00,1,3.0214377146927682,13:32:00,1,0.0,0.5608099923742835,,compressed
2009-04-03,11:00:00,11:03:00,2,3.0212299643874228,11:03:00,2,1.0,1.2851591833400533,,mixed
2020-07-09,14:43:00,14:43:00,1,3.0206627558497057,14:43:00,2,1.0,0.9539600602373237,,mixed
2017-02-03,12:03:00,12:03:00,1,3.0206129055552755,12:03:00,2,1.0,1.0469415807123021,,mixed
2019-03-13,15:17:00,15:17:00,1,3.0205623399028765,15:17:00,2,1.0,1.4291950184435525,,mixed
2009-05-26,11:29:00,11:29:00,1,3.0203849446605586,11:29:00,2,1.0,1.8127970708944778,,dispersed
2018-01-31,14:30:00,14:30:00,1,3.0198211576024665,14:30:00,2,1.0,1.2525691221867572,,mixed
2018-05-07,12:29:00,12:29:00,1,3.0195625508018713,12:29:00,2,1.0,0.7790935023716333,,mixed
2012-02-17,12:38:00,12:39:00,2,3.018662187767706,12:38:00,2,1.0,0.6478402477991156,,compressed
2020-08-05,15:02:00,15:02:00,1,3.0185185205933127,15:02:00,2,1.0,0.52738752662489,,compressed
2011-02-18,13:29:00,13:31:00,3,3.01616249947198,13:29:00,1,0.0,0.7306178733789588,,mixed
2019-11-06,12:02:00,12:02:00,1,3.015966366103436,12:02:00,2,1.0,2.0155211032967393,,dispersed
2014-10-02,13:22:00,13:22:00,1,3.0153781283492562,13:22:00,1,0.0,1.3636673700051283,,mixed
2010-03-08,15:02:00,15:03:00,2,3.015314611182158,15:03:00,1,0.0,0.7008770545724892,,mixed
2012-09-07,15:10:00,15:11:00,2,3.0152921929625105,15:10:00,1,0.0,0.5222847560246243,,compressed
2010-06-23,15:00:00,15:00:00,1,3.015083249716017,15:00:00,2,1.0,1.9737311876722559,,dispersed
2012-09-07,14:07:00,14:07:00,1,3.0146892092364834,14:07:00,1,0.0,0.6412272693590801,,compressed
2012-06-08,13:41:00,13:41:00,1,3.0144789893419555,13:41:00,1,0.0,0.8111612106369882,,mixed
2018-11-28,12:25:00,12:26:00,2,3.013242667175004,12:25:00,2,1.0,1.628582690540545,,dispersed
2016-03-07,15:22:00,15:22:00,1,3.0127420611791687,15:22:00,2,1.0,1.2380756847832173,,mixed
2019-06-27,12:29:00,12:29:00,1,3.012611235616985,12:29:00,2,1.0,1.2224766160438698,,mixed
2009-08-21,14:07:00,14:07:00,1,3.0125612598750604,14:07:00,1,0.0,0.6584555427568936,,compressed
2014-11-10,12:16:00,12:17:00,2,3.012075594838114,12:16:00,1,0.0,0.7214619680782595,,mixed
2016-01-26,11:16:00,11:16:00,1,3.0120125672918956,11:16:00,1,0.0,0.9899254391066027,,mixed
2014-05-14,12:29:00,12:30:00,2,3.0112452795789086,12:29:00,1,0.0,0.7273273993281092,,mixed
2019-07-09,15:32:00,15:32:00,1,3.010992212498355,15:32:00,2,1.0,0.6168062733248475,,compressed
2010-03-29,14:28:00,14:31:00,2,3.0099582351330296,14:28:00,1,0.0,0.8440529269210648,,mixed
2011-12-21,12:45:00,12:45:00,1,3.0096863438497143,12:45:00,2,1.0,1.1149783197212755,,mixed
2010-06-07,14:06:00,14:07:00,2,3.0096662809100057,14:06:00,1,0.0,0.8540563812466928,,mixed
2012-11-21,15:59:00,15:59:00,1,3.0095655676082957,15:59:00,1,0.0,0.48475067455345816,,compressed
2017-05-01,13:02:00,13:02:00,1,3.0093059419382135,13:02:00,2,1.0,1.3839448447956773,,mixed
2017-12-08,11:51:00,11:51:00,1,3.00854050043683,11:51:00,2,1.0,0.7945913506453084,,mixed
2010-06-23,11:19:00,11:19:00,1,3.008495417914649,11:19:00,2,1.0,2.0194495643604182,,dispersed
2017-05-01,12:51:00,12:51:00,1,3.007731803293465,12:51:00,2,1.0,1.3806904352839389,,mixed
2009-07-28,11:14:00,11:14:00,1,3.00718772737525,11:14:00,2,1.0,1.4199029264544043,,mixed
