t2_idx,date,price,pos_conf,neg_conf,med_tc_idx,med_price_c,med_tc_idx_neg,med_price_c_neg,n_pos_qual
1035,1998-02-06,1694.349976,0.0,0.0,,,,,0
1040,1998-02-13,1710.420044,0.0,0.0,,,,,0
1045,1998-02-23,1751.76001,0.0,0.0,,,,,0
1050,1998-03-02,1758.540039,0.0,0.0,,,,,0
1055,1998-03-09,1725.160034,0.0,0.0,,,,,0
1060,1998-03-16,1788.180054,0.0,0.0,,,,,0
1065,1998-03-23,1792.51001,0.0,0.0,,,,,0
1070,1998-03-30,1818.699951,0.0,0.0,,,,,0
1075,1998-04-06,1829.140015,0.0,0.0,,,,,0
1080,1998-04-14,1843.030029,0.0,0.0,,,,,0
1085,1998-04-21,1903.869995,0.0,0.0,,,,,0
1090,1998-04-28,1831.77002,0.0,0.0,,,,,0
1095,1998-05-05,1864.910034,0.0,0.0,,,,,0
1100,1998-05-12,1860.160034,0.0,0.0,,,,,0
1105,1998-05-19,1845.869995,0.0,0.0,,,,,0
1110,1998-05-27,1781.099976,0.0,0.0,,,,,0
1115,1998-06-03,1742.310059,0.0,0.0,,,,,0
1120,1998-06-10,1773.25,0.0,0.0,,,,,0
1125,1998-06-17,1776.400024,0.0,0.0,,,,,0
1130,1998-06-24,1877.76001,0.0,0.0,,,,,0
1135,1998-07-01,1914.459961,0.0,0.0,,,,,0
1140,1998-07-09,1939.819946,0.0,0.0,,,,,0
1145,1998-07-16,2000.560059,0.0,0.0,,,,,0
1150,1998-07-23,1935.219971,0.0,0.0,,,,,0
1155,1998-07-30,1919.579956,0.0,0.0,,,,,0
1160,1998-08-06,1829.51001,0.0,0.0,,,,,0
1165,1998-08-13,1802.540039,0.0,0.0,,,,,0
1170,1998-08-20,1832.449951,0.0,0.0,,,,,0
1175,1998-08-27,1686.410034,0.0,0.0,,,,,0
1180,1998-09-03,1571.859985,0.0,0.0,,,,,0
1185,1998-09-11,1641.640015,0.0,0.0,,,,,0
1190,1998-09-18,1663.77002,0.0,0.0,,,,,0
1195,1998-09-25,1743.589966,0.0,0.0,,,,,0
1200,1998-10-02,1614.97998,0.0,0.0,,,,,0
1205,1998-10-09,1492.48999,0.0,0.0,,,,,0
1210,1998-10-16,1620.949951,0.0,0.0,,,,,0
1215,1998-10-23,1693.859985,0.0,0.0,,,,,0
1220,1998-10-30,1771.390015,0.0,0.0,,,,,0
1225,1998-11-06,1856.560059,0.0,0.0,,,,,0
1230,1998-11-13,1847.98999,0.0,0.0,,,,,0
1235,1998-11-20,1928.209961,0.0,0.0,,,,,0
1240,1998-11-30,1949.540039,0.0,0.0,,,,,0
1245,1998-12-07,2040.640015,0.0,0.0,,,,,0
1250,1998-12-14,1966.920044,0.0,0.0,,,,,0
1255,1998-12-21,2138.030029,0.0,0.0,,,,,0
1260,1998-12-29,2181.77002,0.0,0.0,,,,,0
1265,1999-01-06,2320.860107,0.2,0.0,1269.1639018921423,2342.5893610001685,,,1
1270,1999-01-13,2316.810059,0.3333333333333333,0.0,1277.554462783904,2822.4952135143667,,,1
1275,1999-01-21,2344.719971,0.3333333333333333,0.0,1317.992692749981,3886.7996651686526,,,1
1280,1999-01-28,2477.340088,0.3333333333333333,0.0,1310.717336400417,3734.586026357828,,,1
1285,1999-02-04,2410.070068,0.2,0.0,1300.5820781850489,2905.8255824063303,,,1
1290,1999-02-11,2405.550049,0.0,0.0,,,,,0
1295,1999-02-19,2283.600098,0.0,0.0,,,,,0
1300,1999-02-26,2288.030029,0.0,0.0,,,,,0
1305,1999-03-05,2337.110107,0.0,0.0,,,,,0
1310,1999-03-12,2381.530029,0.0,0.0,,,,,0
1315,1999-03-19,2421.27002,0.0,0.0,,,,,0
1320,1999-03-26,2419.169922,0.0,0.0,,,,,0
1325,1999-04-05,2560.060059,0.0,0.0,,,,,0
1330,1999-04-12,2598.810059,0.125,0.0,1333.76088149609,3266.5897523366316,,,1
1335,1999-04-19,2345.610107,0.0,0.0,,,,,0
1340,1999-04-26,2652.050049,0.0,0.0,,,,,0
1345,1999-05-03,2535.580078,0.0,0.0,,,,,0
1350,1999-05-10,2526.389893,0.0,0.0,,,,,0
1355,1999-05-17,2561.840088,0.0,0.0,,,,,0
1360,1999-05-24,2453.659912,0.0,0.0,,,,,0
1365,1999-06-01,2412.030029,0.0,0.0,,,,,0
1370,1999-06-08,2474.560059,0.0,0.0,,,,,0
1375,1999-06-15,2414.669922,0.0,0.0,,,,,0
1380,1999-06-22,2580.26001,0.0,0.0,,,,,0
1385,1999-06-29,2642.110107,0.0,0.0,,,,,0
1390,1999-07-07,2743.040039,0.0,0.0,,,,,0
1395,1999-07-14,2818.129883,0.0,0.0,,,,,0
1400,1999-07-21,2761.77002,0.0,0.0,,,,,0
1405,1999-07-28,2705.840088,0.0,0.0,,,,,0
1410,1999-08-04,2540.0,0.0,0.0,,,,,0
1415,1999-08-11,2564.97998,0.0,0.0,,,,,0
1420,1999-08-18,2657.72998,0.0,0.0,,,,,0
1425,1999-08-25,2805.600098,0.0,0.0,,,,,0
1430,1999-09-01,2750.800049,0.0,0.0,,,,,0
1435,1999-09-09,2852.02002,0.0,0.0,,,,,0
1440,1999-09-16,2806.719971,0.125,0.0,1462.8561689035382,3230.5656576561787,,,1
1445,1999-09-23,2749.830078,0.0,0.0,,,,,0
1450,1999-09-30,2746.159912,0.0,0.0,,,,,0
1455,1999-10-07,2860.699951,0.0,0.0,,,,,0
1460,1999-10-14,2806.840088,0.0,0.0,,,,,0
1465,1999-10-21,2801.949951,0.0,0.0,,,,,0
1470,1999-10-28,2875.219971,0.0,0.0,,,,,0
1475,1999-11-04,3055.949951,0.09090909090909091,0.0,1475.0000002707798,2901.627447920668,,,1
1480,1999-11-11,3197.290039,0.25,0.0,1487.6905241341601,3193.7320713215163,,,2
1485,1999-11-18,3347.110107,0.0,0.0,,,,,0
1490,1999-11-26,3447.810059,0.25,0.0,1514.243939477129,3671.1340196681595,,,2
1495,1999-12-03,3520.629883,0.0,0.0,,,,,0
1500,1999-12-10,3620.23999,0.0,0.0,,,,,0
1505,1999-12-17,3753.060059,0.16666666666666666,0.0,1518.817217705273,3485.247242964546,,,1
1510,1999-12-27,3975.379883,0.125,0.0,1624.899696377764,5145.970431297851,,,1
1515,2000-01-03,4131.149902,0.2857142857142857,0.0,1518.2499017451087,4684.84572767055,,,2
1520,2000-01-10,4049.669922,0.5,0.0,1528.8977267456626,152628.35772519413,,,1
1525,2000-01-18,4130.810059,0.25,0.0,1529.8352790636952,5678.912175273316,,,1
1530,2000-01-25,4167.410156,0.5,0.0,1537.9661847846985,8958.918992119747,,,1
1535,2000-02-01,4051.97998,0.3333333333333333,0.0,1546.215717426484,13137.00987741754,,,1
1540,2000-02-08,4427.5,0.25,0.0,1553.0613183918135,26293.706715641558,,,1
1545,2000-02-15,4420.77002,0.3333333333333333,0.0,1556.4775496335733,31043.05962383709,,,1
1550,2000-02-23,4550.330078,0.16666666666666666,0.0,1553.156101846474,4613.219230247613,,,1
1555,2000-03-01,4784.080078,0.125,0.0,1561.4457736550708,5361.9057303468,,,1
1560,2000-03-08,4897.259766,0.3333333333333333,0.0,1564.343361724175,5380.568241507848,,,2
